Timestamp (s),Frame,Person Count
0.04,1,37
0.08,2,38
0.12,3,35
0.16,4,37
0.2,5,37
0.24,6,38
0.28,7,36
0.32,8,36
0.36,9,35
0.4,10,36
0.44,11,36
0.48,12,37
0.52,13,34
0.56,14,37
0.6,15,34
0.64,16,33
0.68,17,33
0.72,18,36
0.76,19,34
0.8,20,34
0.84,21,33
0.88,22,33
0.92,23,33
0.96,24,33
1.0,25,34
1.04,26,35
1.08,27,36
1.12,28,35
1.16,29,35
1.2,30,35
1.24,31,34
1.28,32,31
1.32,33,31
1.36,34,32
1.4,35,30
1.44,36,32
1.48,37,34
1.52,38,33
1.56,39,36
1.6,40,38
1.64,41,35
1.68,42,33
1.72,43,35
1.76,44,33
1.8,45,34
1.84,46,35
1.88,47,37
1.92,48,36
1.96,49,36
2.0,50,36
2.04,51,40
2.08,52,41
2.12,53,37
2.16,54,38
2.2,55,40
2.24,56,37
2.28,57,39
2.32,58,37
2.36,59,38
2.4,60,38
2.44,61,36
2.48,62,39
2.52,63,36
2.56,64,37
2.6,65,36
2.64,66,36
2.68,67,39
2.72,68,37
2.76,69,35
2.8,70,36
2.84,71,39
2.88,72,38
2.92,73,38
2.96,74,41
3.0,75,42
3.04,76,40
3.08,77,41
3.12,78,42
3.16,79,41
3.2,80,40
3.24,81,40
3.28,82,37
3.32,83,41
3.36,84,38
3.4,85,38
3.44,86,38
3.48,87,37
3.52,88,36
3.56,89,38
3.6,90,38
3.64,91,40
3.68,92,38
3.72,93,37
3.76,94,37
3.8,95,35
3.84,96,35
3.88,97,36
3.92,98,35
3.96,99,37
4.0,100,37
4.04,101,35
4.08,102,38
4.12,103,37
4.16,104,38
4.2,105,36
4.24,106,35
4.28,107,33
4.32,108,35
4.36,109,32
4.4,110,32
4.44,111,33
4.48,112,32
4.52,113,33
4.56,114,31
4.6,115,34
4.64,116,32
4.68,117,30
4.72,118,29
4.76,119,28
4.8,120,30
4.84,121,32
4.88,122,33
4.92,123,32
4.96,124,35
5.0,125,37
5.04,126,36
5.08,127,38
5.12,128,33
5.16,129,35
5.2,130,34
5.24,131,32
5.28,132,33
5.32,133,31
5.36,134,31
5.4,135,32
5.44,136,32
5.48,137,31
5.52,138,31
5.56,139,33
5.6,140,30
5.64,141,33
5.68,142,28
5.72,143,30
5.76,144,30
5.8,145,31
5.84,146,30
5.88,147,29
5.92,148,30
5.96,149,30
6.0,150,30
6.04,151,30
6.08,152,30
6.12,153,28
6.16,154,29
6.2,155,29
6.24,156,30
6.28,157,30
6.32,158,29
6.36,159,26
6.4,160,29
6.44,161,30
6.48,162,28
6.52,163,30
6.56,164,29
6.6,165,29
6.64,166,31
6.68,167,30
6.72,168,30
6.76,169,30
6.8,170,30
6.84,171,29
6.88,172,30
6.92,173,28
6.96,174,29
7.0,175,29
7.04,176,29
7.08,177,29
7.12,178,30
7.16,179,29
7.2,180,28
7.24,181,30
7.28,182,30
7.32,183,27
7.36,184,30
7.4,185,27
7.44,186,28
7.48,187,28
7.52,188,28
7.56,189,29
7.6,190,30
7.64,191,30
7.68,192,30
7.72,193,31
7.76,194,32
7.8,195,32
7.84,196,31
7.88,197,33
7.92,198,34
7.96,199,35
8.0,200,32
8.04,201,34
8.08,202,32
8.12,203,32
8.16,204,32
8.2,205,31
8.24,206,32
8.28,207,32
8.32,208,29
8.36,209,28
8.4,210,27
8.44,211,26
8.48,212,28
8.52,213,28
8.56,214,29
8.6,215,28
8.64,216,28
8.68,217,28
8.72,218,29
8.76,219,31
8.8,220,31
8.84,221,31
8.88,222,29
8.92,223,28
8.96,224,29
9.0,225,24
9.04,226,27
9.08,227,27
9.12,228,26
9.16,229,26
9.2,230,28
9.24,231,30
9.28,232,30
9.32,233,29
9.36,234,28
9.4,235,28
9.44,236,26
9.48,237,26
9.52,238,27
9.56,239,27
9.6,240,27
9.64,241,26
9.68,242,26
9.72,243,28
9.76,244,26
9.8,245,27
9.84,246,25
9.88,247,25
9.92,248,25
9.96,249,24
10.0,250,25
10.04,251,25
10.08,252,25
10.12,253,27
10.16,254,28
10.2,255,29
10.24,256,30
10.28,257,29
10.32,258,28
10.36,259,28
10.4,260,29
10.44,261,28
10.48,262,26
10.52,263,26
10.56,264,29
10.6,265,27
10.64,266,28
10.68,267,30
10.72,268,26
10.76,269,28
10.8,270,29
10.84,271,28
10.88,272,27
10.92,273,26
10.96,274,30
11.0,275,29
11.04,276,29
11.08,277,29
11.12,278,30
11.16,279,31
11.2,280,32
11.24,281,30
11.28,282,30
11.32,283,30
11.36,284,28
11.4,285,28
11.44,286,29
11.48,287,29
11.52,288,28
11.56,289,26
11.6,290,27
11.64,291,29
11.68,292,29
11.72,293,31
11.76,294,34
11.8,295,29
11.84,296,30
11.88,297,32
11.92,298,30
11.96,299,30
12.0,300,31
12.04,301,29
12.08,302,28
12.12,303,29
12.16,304,28
12.2,305,26
12.24,306,28
12.28,307,29
12.32,308,31
12.36,309,28
12.4,310,31
12.44,311,25
12.48,312,28
12.52,313,29
12.56,314,29
12.6,315,26
12.64,316,28
12.68,317,29
12.72,318,28
12.76,319,28
12.8,320,29
12.84,321,31
12.88,322,31
12.92,323,30
12.96,324,29
13.0,325,28
13.04,326,28
13.08,327,29
13.12,328,28
13.16,329,29
13.2,330,30
13.24,331,29
13.28,332,28
13.32,333,28
13.36,334,33
13.4,335,32
13.44,336,31
13.48,337,29
13.52,338,29
13.56,339,32
13.6,340,33
13.64,341,32
